year,player,wins,losses,games_played,saves,hits,strikeouts,wild_pitches,runs_allowed,teams
1954,Billy Pierce,9,10,36,3,179,148,3,86,['Chicago White Sox']
1954,Bob Feller,13,3,19,0,127,59,0,53,['Cleveland Indians']
1954,Bob Friend,7,12,35,2,204,73,1,106,['Pittsburgh Pirates']
1954,Bob Miller,8,10,62,1,238,69,4,109,"['Detroit Tigers', 'Philadelphia Phillies']"
1954,Bobby Shantz,1,0,2,0,12,3,0,7,['Philadelphia Athletics']
1954,Camilo Pascual,4,7,48,3,126,60,4,65,['Washington Senators']
1954,Curt Simmons,14,15,34,1,226,125,2,101,['Philadelphia Phillies']
1954,Early Wynn,23,11,40,2,225,155,2,93,['Cleveland Indians']
1954,Frank Smith,5,8,50,20,60,51,0,29,['Cincinnati Redlegs']
1954,Hal Newhouser,7,2,26,7,34,25,0,16,['Cleveland Indians']
1954,Hoyt Wilhelm,12,4,57,7,77,64,2,32,['New York Giants']
1954,Joe Coleman,13,17,33,0,184,103,1,102,['Baltimore Orioles']
1954,Joe Nuxhall,12,5,35,0,188,85,4,77,['Cincinnati Redlegs']
1954,Johnny Klippstein,4,11,36,1,155,69,5,104,['Chicago Cubs']
1954,Jose Santiago,0,0,1,0,0,1,0,1,['Cleveland Indians']
1954,Lew Burdette,15,14,38,0,224,79,1,87,['Milwaukee Braves']
1954,Mike Garcia,19,8,45,5,220,129,1,85,['Cleveland Indians']
1954,Murry Dickson,10,20,40,3,256,64,1,107,['Philadelphia Phillies']
1954,Robin Roberts,23,15,45,4,289,185,2,116,['Philadelphia Phillies']
1954,Steve Gromek,18,16,36,1,236,102,1,85,['Detroit Tigers']
1954,Stu Miller,2,3,19,2,55,22,1,36,['St. Louis Cardinals']
1954,Tom Gorman,0,0,23,2,30,31,1,14,['New York Yankees']
1954,Vern Law,9,13,39,3,201,57,6,109,['Pittsburgh Pirates']
1954,Virgil Trucks,19,12,40,3,224,152,4,87,['Chicago White Sox']
1954,Warren Spahn,21,12,39,3,262,136,3,107,['Milwaukee Braves']
1954,Whitey Ford,16,8,34,1,170,125,1,72,['New York Yankees']
1955,Bill Henry,2,4,17,0,56,23,1,28,['Boston Red Sox']
1955,Billy Pierce,15,10,33,1,162,157,4,50,['Chicago White Sox']
1955,Bob Feller,4,4,25,0,71,25,0,43,['Cleveland Indians']
1955,Bob Friend,14,9,44,2,178,98,0,80,['Pittsburgh Pirates']
1955,Bob Miller,10,5,47,1,106,39,2,38,"['Detroit Tigers', 'Philadelphia Phillies']"
1955,Bob Smith,0,0,1,0,1,1,0,0,['Boston Red Sox']
1955,Bobby Shantz,5,10,23,0,124,58,2,70,['Kansas City Athletics']
1955,Camilo Pascual,2,12,43,3,158,82,2,94,['Washington Senators']
1955,Curt Simmons,8,8,25,0,148,58,1,76,['Philadelphia Phillies']
1955,Dick Hall,6,6,15,1,92,46,0,43,['Pittsburgh Pirates']
1955,Early Wynn,17,11,32,0,207,122,3,86,['Cleveland Indians']
1955,Frank Smith,3,1,28,1,27,17,2,18,['St. Louis Cardinals']
1955,Hal Newhouser,0,0,2,0,1,1,1,0,['Cleveland Indians']
1955,Hank Aguirre,2,0,4,0,6,6,1,3,['Cleveland Indians']
1955,Hoyt Wilhelm,4,1,59,0,104,71,6,53,['New York Giants']
1955,Jim Bunning,3,5,15,1,59,37,1,38,['Detroit Tigers']
1955,Joe Coleman,2,2,23,3,41,9,1,24,"['Detroit Tigers', 'Baltimore Orioles']"
1955,Joe Nuxhall,17,12,50,3,240,98,5,108,['Cincinnati Redlegs']
1955,Johnny Klippstein,9,10,39,0,120,68,6,66,['Cincinnati Redlegs']
1955,Jose Santiago,2,0,17,0,31,19,2,11,['Cleveland Indians']
1955,Lew Burdette,13,8,42,0,253,70,3,114,['Milwaukee Braves']
1955,Lindy McDaniel,0,0,4,0,22,7,0,10,['St. Louis Cardinals']
1955,Mike Garcia,11,13,38,3,230,120,2,101,['Cleveland Indians']
1955,Murry Dickson,12,11,36,0,190,92,2,98,['Philadelphia Phillies']
1955,Robin Roberts,23,14,41,3,292,160,3,137,['Philadelphia Phillies']
1955,Ron Kline,6,13,36,2,161,48,2,78,['Pittsburgh Pirates']
1955,Roy Face,5,7,42,5,128,84,3,58,['Pittsburgh Pirates']
1955,Steve Gromek,13,10,28,0,183,73,1,89,['Detroit Tigers']
1955,Ted Abernathy,5,9,40,0,136,79,2,87,['Washington Senators']
1955,Tom Gorman,7,6,57,18,98,46,2,48,['Kansas City Athletics']
1955,Vern Law,10,10,43,1,221,82,5,98,['Pittsburgh Pirates']
1955,Virgil Trucks,13,8,32,0,176,91,1,78,['Chicago White Sox']
1955,Warren Spahn,17,14,39,1,249,110,4,99,['Milwaukee Braves']
1955,Whitey Ford,18,7,39,2,188,137,7,83,['New York Yankees']
1956,Billy Pierce,20,9,35,1,261,192,6,108,['Chicago White Sox']
1956,Bob Feller,0,4,19,1,63,18,0,34,['Cleveland Indians']
1956,Bob Friend,17,17,49,3,310,166,5,137,['Pittsburgh Pirates']
1956,Bob Miller,3,8,60,5,152,69,4,78,"['Detroit Tigers', 'Philadelphia Phillies']"
1956,Bobby Shantz,2,7,45,9,95,67,1,51,['Kansas City Athletics']
1956,Camilo Pascual,6,18,39,2,194,162,7,131,['Washington Senators']
1956,Curt Simmons,15,10,33,0,186,88,1,95,['Philadelphia Phillies']
1956,Dick Hall,0,7,19,1,64,27,0,36,['Pittsburgh Pirates']
1956,Early Wynn,20,9,38,2,233,158,5,93,['Cleveland Indians']
1956,Frank Smith,0,0,2,0,3,1,0,4,['Cincinnati Redlegs']
1956,Hank Aguirre,3,5,16,1,63,31,3,35,['Cleveland Indians']
1956,Hoyt Wilhelm,4,9,64,8,97,71,6,45,['New York Giants']
1956,Jim Bunning,5,1,15,1,55,34,3,24,['Detroit Tigers']
1956,Joe Nuxhall,13,11,44,3,196,120,3,96,['Cincinnati Redlegs']
1956,Johnny Klippstein,12,11,37,1,219,86,0,103,['Cincinnati Redlegs']
1956,Jose Santiago,1,2,9,0,36,9,1,26,['Kansas City Athletics']
1956,Lew Burdette,19,10,39,1,234,110,2,92,['Milwaukee Braves']
1956,Lindy McDaniel,7,6,39,0,121,59,8,60,['St. Louis Cardinals']
1956,Mike Garcia,11,12,35,0,213,119,3,93,['Cleveland Indians']
1956,Mike McCormick,0,1,3,0,7,4,0,7,['New York Giants']
1956,Moe Drabowsky,2,4,9,0,37,36,0,19,['Chicago Cubs']
1956,Murry Dickson,13,11,31,0,195,110,7,90,"['St. Louis Cardinals', 'Philadelphia Phillies']"
1956,Robin Roberts,19,18,43,3,328,157,2,155,['Philadelphia Phillies']
1956,Ron Kline,14,18,44,2,263,125,10,110,['Pittsburgh Pirates']
1956,Roy Face,12,13,68,6,131,96,1,57,['Pittsburgh Pirates']
1956,Steve Gromek,8,6,40,4,142,64,0,74,['Detroit Tigers']
1956,Stu Miller,5,9,27,1,121,60,3,71,"['St. Louis Cardinals', 'Philadelphia Phillies']"
1956,Ted Abernathy,1,3,5,0,35,18,0,16,['Washington Senators']
1956,Tom Gorman,9,10,52,3,168,56,2,83,['Kansas City Athletics']
1956,Vern Law,8,16,39,2,218,60,8,110,['Pittsburgh Pirates']
1956,Virgil Trucks,6,5,22,1,104,43,3,56,['Detroit Tigers']
1956,Warren Spahn,20,11,39,3,249,128,7,92,['Milwaukee Braves']
1956,Whitey Ford,19,6,31,1,187,141,6,70,['New York Yankees']
1957,Billy Pierce,20,12,37,2,228,171,3,98,['Chicago White Sox']
1957,Bob Friend,14,18,40,0,273,143,3,121,['Pittsburgh Pirates']
1957,Bob Miller,2,5,37,6,74,19,1,27,"['St. Louis Cardinals', 'Philadelphia Phillies']"
1957,Bob Smith,2,4,26,1,60,46,2,32,"['Pittsburgh Pirates', 'St. Louis Cardinals']"
1957,Bobby Shantz,11,5,30,5,157,72,3,58,['New York Yankees']
1957,Camilo Pascual,8,17,29,0,168,113,5,85,['Washington Senators']
1957,Claude Osteen,0,0,3,0,4,3,2,1,['Cincinnati Redlegs']
1957,Curt Simmons,12,11,32,0,214,92,2,92,['Philadelphia Phillies']
1957,Dick Hall,0,0,8,0,17,7,0,12,['Pittsburgh Pirates']
1957,Don McMahon,2,3,32,9,33,46,0,13,['Milwaukee Braves']
1957,Early Wynn,14,17,40,1,270,184,0,139,['Cleveland Indians']
1957,Hank Aguirre,1,1,10,0,26,9,5,15,['Cleveland Indians']
1957,Hoyt Wilhelm,2,4,42,12,54,29,0,29,"['Cleveland Indians', 'St. Louis Cardinals']"
1957,Jim Bunning,20,8,45,1,214,182,4,91,['Detroit Tigers']
1957,Joe Nuxhall,10,10,39,1,192,99,3,104,['Cincinnati Redlegs']
1957,Johnny Klippstein,8,11,46,3,146,99,5,84,['Cincinnati Redlegs']
1957,Juan Pizarro,5,6,24,0,99,68,2,58,['Milwaukee Braves']
1957,Lew Burdette,17,9,37,0,260,78,2,117,['Milwaukee Braves']
1957,Lindy McDaniel,15,9,30,0,196,75,9,87,['St. Louis Cardinals']
1957,Mike Garcia,12,8,38,0,221,110,2,98,['Cleveland Indians']
1957,Mike McCormick,3,1,24,0,79,50,4,37,['New York Giants']
1957,Milt Pappas,0,0,4,0,6,3,0,1,['Baltimore Orioles']
1957,Moe Drabowsky,13,15,36,0,214,170,5,103,['Chicago Cubs']
1957,Murry Dickson,5,3,14,0,87,29,3,41,['St. Louis Cardinals']
1957,Robin Roberts,10,22,39,2,246,128,0,122,['Philadelphia Phillies']
1957,Ron Kline,9,16,40,0,214,88,2,107,['Pittsburgh Pirates']
1957,Roy Face,4,6,59,10,97,53,2,41,['Pittsburgh Pirates']
1957,Steve Gromek,0,1,15,1,32,11,1,16,['Detroit Tigers']
1957,Stu Miller,7,9,38,1,110,60,4,53,['New York Giants']
1957,Ted Abernathy,2,10,26,0,100,50,1,65,['Washington Senators']
1957,Tom Gorman,5,9,38,3,125,66,3,59,['Kansas City Athletics']
1957,Vern Law,10,8,31,1,172,55,2,72,['Pittsburgh Pirates']
1957,Virgil Trucks,9,7,48,7,106,55,7,45,['Kansas City Athletics']
1957,Warren Spahn,21,11,39,3,241,111,2,94,['Milwaukee Braves']
1957,Whitey Ford,11,5,24,0,114,84,2,46,['New York Yankees']
1958,Bill Henry,5,4,44,6,63,58,0,27,['Chicago Cubs']
1958,Billy Pierce,17,11,35,2,204,144,1,83,['Chicago White Sox']
1958,Bob Friend,22,14,38,0,299,135,4,120,['Pittsburgh Pirates']
1958,Bob Miller,1,1,17,0,36,9,1,30,['Philadelphia Phillies']
1958,Bob Smith,6,5,52,1,122,67,7,71,"['Boston Red Sox', 'Pittsburgh Pirates']"
1958,Bobby Shantz,7,6,33,0,127,80,3,52,['New York Yankees']
1958,Camilo Pascual,8,12,31,0,166,146,3,66,['Washington Senators']
1958,Curt Simmons,7,14,29,1,196,78,4,92,['Philadelphia Phillies']
1958,Don McMahon,7,2,38,8,50,37,1,25,['Milwaukee Braves']
1958,Early Wynn,14,16,40,2,214,179,3,115,['Chicago White Sox']
1958,Hank Aguirre,3,4,44,5,67,38,1,31,['Detroit Tigers']
1958,Hoyt Wilhelm,3,10,39,5,95,92,2,41,"['Baltimore Orioles', 'Cleveland Indians']"
1958,Jim Bunning,14,12,35,0,188,177,5,96,['Detroit Tigers']
1958,Joe Nuxhall,12,11,36,0,169,111,3,78,['Cincinnati Redlegs']
1958,Johnny Klippstein,6,7,57,10,118,95,9,60,"['Los Angeles Dodgers', 'Cincinnati Redlegs']"
1958,Juan Pizarro,6,4,16,1,75,84,6,36,['Milwaukee Braves']
1958,Ken Johnson,0,0,2,0,6,1,0,7,['Kansas City Athletics']
1958,Lew Burdette,20,10,40,0,279,113,1,102,['Milwaukee Braves']
1958,Lindy McDaniel,5,7,26,0,139,47,3,76,['St. Louis Cardinals']
1958,Mike Garcia,1,0,6,0,15,2,0,10,['Cleveland Indians']
1958,Mike McCormick,11,8,42,1,192,82,6,103,['San Francisco Giants']
1958,Milt Pappas,10,10,31,0,135,72,6,67,['Baltimore Orioles']
1958,Moe Drabowsky,9,11,22,0,118,77,0,73,['Chicago Cubs']
1958,Murry Dickson,10,7,33,2,117,55,1,59,"['Kansas City Athletics', 'New York Yankees']"
1958,Robin Roberts,17,14,35,0,270,130,2,112,['Philadelphia Phillies']
1958,Ron Kline,13,16,32,0,220,109,3,96,['Pittsburgh Pirates']
1958,Roy Face,5,2,57,20,77,47,2,30,['Pittsburgh Pirates']
1958,Stu Miller,6,9,41,0,160,119,2,60,['San Francisco Giants']
1958,Tom Gorman,4,4,50,8,86,44,2,41,['Kansas City Athletics']
1958,Vern Law,14,12,35,3,235,56,1,103,['Pittsburgh Pirates']
1958,Virgil Trucks,2,2,41,4,58,41,2,31,"['Kansas City Athletics', 'New York Yankees']"
1958,Warren Spahn,22,11,38,1,257,150,2,106,['Milwaukee Braves']
1958,Whitey Ford,14,7,30,1,174,145,5,62,['New York Yankees']
1959,Bill Henry,9,8,65,12,111,115,3,42,['Chicago Cubs']
1959,Billy Pierce,14,15,34,0,217,114,2,98,['Chicago White Sox']
1959,Bob Friend,8,19,35,0,267,104,5,129,['Pittsburgh Pirates']
1959,Bob Gibson,3,5,13,0,77,48,4,35,['St. Louis Cardinals']
1959,Bob Miller,4,3,11,0,66,43,0,31,['St. Louis Cardinals']
1959,Bob Smith,0,4,42,0,88,39,3,56,"['Detroit Tigers', 'Cleveland Indians', 'Pittsburgh Pirates', 'Chicago Cubs']"
1959,Bobby Shantz,7,3,33,3,64,66,3,33,['New York Yankees']
1959,Camilo Pascual,17,10,32,0,202,185,5,80,['Washington Senators']
1959,Claude Osteen,0,0,2,0,11,3,0,10,['Cincinnati Redlegs']
1959,Curt Simmons,0,0,7,0,16,4,0,5,['Philadelphia Phillies']
1959,Dick Hall,0,0,2,0,12,3,0,5,['Pittsburgh Pirates']
1959,Don McMahon,5,3,60,15,81,55,3,26,['Milwaukee Braves']
1959,Early Wynn,22,10,37,0,202,179,5,106,['Chicago White Sox']
1959,Hank Aguirre,0,0,3,0,4,3,0,1,['Detroit Tigers']
1959,Hoyt Wilhelm,15,11,32,0,178,139,5,64,['Baltimore Orioles']
1959,Jim Bunning,17,13,40,1,220,201,1,111,['Detroit Tigers']
1959,Jim Kaat,0,2,3,0,7,2,0,9,['Washington Senators']
1959,Jim Perry,12,10,44,4,122,79,2,54,['Cleveland Indians']
1959,Joe Nuxhall,9,9,28,1,155,75,0,76,['Cincinnati Redlegs']
1959,Johnny Klippstein,4,0,28,2,48,30,2,31,['Los Angeles Dodgers']
1959,Juan Pizarro,6,2,29,0,117,126,4,61,['Milwaukee Braves']
1959,Ken Johnson,1,1,2,0,11,8,0,6,['Kansas City Athletics']
1959,Lew Burdette,21,15,41,1,312,105,2,144,['Milwaukee Braves']
1959,Lindy McDaniel,14,12,62,15,144,86,10,61,['St. Louis Cardinals']
1959,Mike Garcia,3,6,29,1,72,49,3,39,['Cleveland Indians']
1959,Mike McCormick,12,16,47,4,213,151,9,117,['San Francisco Giants']
1959,Milt Pappas,15,9,33,3,175,120,14,82,['Baltimore Orioles']
1959,Moe Drabowsky,5,10,31,0,138,70,7,78,['Chicago Cubs']
1959,Murry Dickson,2,1,38,0,85,36,1,46,['Kansas City Athletics']
1959,Robin Roberts,15,17,35,0,267,137,1,137,['Philadelphia Phillies']
1959,Ron Kline,11,13,33,0,186,91,9,95,['Pittsburgh Pirates']
1959,Roy Face,18,1,57,10,91,69,4,29,['Pittsburgh Pirates']
1959,Stu Miller,8,7,59,8,164,95,1,66,['San Francisco Giants']
1959,Tom Gorman,1,0,17,1,24,9,1,21,['Kansas City Athletics']
1959,Tom Hughes,0,2,2,0,9,2,0,9,['St. Louis Cardinals']
1959,Vern Law,18,9,34,1,245,110,5,91,['Pittsburgh Pirates']
1959,Warren Spahn,21,15,40,0,282,143,2,106,['Milwaukee Braves']
1959,Whitey Ford,16,10,35,1,194,114,5,82,['New York Yankees']
1960,Bill Henry,1,5,51,17,62,58,5,25,['Cincinnati Reds']
1960,Billy Pierce,14,7,32,0,201,108,2,81,['Chicago White Sox']
1960,Bob Friend,18,12,38,1,266,183,5,97,['Pittsburgh Pirates']
1960,Bob Gibson,3,6,27,0,97,69,3,61,['St. Louis Cardinals']
1960,Bob Miller,4,3,15,0,53,33,2,21,['St. Louis Cardinals']
1960,Bobby Shantz,5,4,42,11,57,54,3,24,['New York Yankees']
1960,Camilo Pascual,12,8,26,2,139,143,2,65,['Washington Senators']
1960,Claude Osteen,0,1,20,0,53,15,4,29,['Cincinnati Reds']
1960,Curt Simmons,7,4,27,0,162,67,3,58,"['St. Louis Cardinals', 'Philadelphia Phillies']"
1960,Dick Hall,8,13,29,0,183,79,0,96,['Kansas City Athletics']
1960,Don McMahon,3,6,48,10,66,50,2,48,['Milwaukee Braves']
1960,Early Wynn,13,12,36,1,220,158,1,105,['Chicago White Sox']
1960,Hank Aguirre,5,3,37,10,75,80,1,31,['Detroit Tigers']
1960,Hoyt Wilhelm,11,8,41,7,125,107,6,69,['Baltimore Orioles']
1960,Jim Brewer,0,3,5,0,25,7,0,14,['Chicago Cubs']
1960,Jim Bunning,11,14,36,0,217,201,2,92,['Detroit Tigers']
1960,Jim Kaat,1,5,13,0,48,25,2,39,['Washington Senators']
1960,Jim Perry,18,10,41,1,257,120,3,118,['Cleveland Indians']
1960,Joe Nuxhall,1,8,38,0,130,72,3,58,['Cincinnati Reds']
1960,Johnny Klippstein,5,5,49,14,53,46,1,30,['Cleveland Indians']
1960,Juan Marichal,6,2,11,0,59,58,3,29,['San Francisco Giants']
1960,Juan Pizarro,6,7,21,0,105,88,5,63,['Milwaukee Braves']
1960,Ken Johnson,5,10,42,3,120,83,3,68,['Kansas City Athletics']
1960,Lew Burdette,19,13,45,4,277,83,2,116,['Milwaukee Braves']
1960,Lindy McDaniel,12,4,65,26,85,105,7,28,['St. Louis Cardinals']
1960,Mike Garcia,0,0,15,2,23,8,3,9,['Chicago White Sox']
1960,Mike McCormick,15,12,40,3,228,154,12,87,['San Francisco Giants']
1960,Milt Pappas,15,11,30,0,184,126,10,81,['Baltimore Orioles']
1960,Moe Drabowsky,3,1,32,1,71,26,4,44,['Chicago Cubs']
1960,Ray Sadecki,9,9,26,0,148,95,8,76,['St. Louis Cardinals']
1960,Robin Roberts,12,16,35,1,256,122,0,113,['Philadelphia Phillies']
1960,Ron Kline,4,9,34,1,133,54,4,86,['St. Louis Cardinals']
1960,Roy Face,10,8,68,24,93,72,2,39,['Pittsburgh Pirates']
1960,Stu Miller,7,6,47,2,100,65,0,49,['San Francisco Giants']
1960,Ted Abernathy,0,0,2,0,4,1,0,4,['Washington Senators']
1960,Vern Law,20,9,35,0,266,120,2,104,['Pittsburgh Pirates']
1960,Warren Spahn,21,10,40,2,254,154,1,114,['Milwaukee Braves']
1960,Whitey Ford,12,9,33,0,168,85,5,76,['New York Yankees']
1961,Al Downing,0,1,5,0,7,12,1,8,['New York Yankees']
1961,Bill Henry,2,1,47,16,50,53,0,18,['Cincinnati Reds']
1961,Billy Pierce,10,9,39,3,190,106,2,85,['Chicago White Sox']
1961,Bob Friend,14,19,41,1,271,108,4,119,['Pittsburgh Pirates']
1961,Bob Gibson,13,12,35,1,186,166,8,91,['St. Louis Cardinals']
1961,Bob Miller,1,3,34,3,82,39,4,41,['St. Louis Cardinals']
1961,Bobby Shantz,6,3,43,2,91,61,0,38,['Pittsburgh Pirates']
1961,Camilo Pascual,15,16,35,0,205,221,7,114,['Minnesota Twins']
1961,Claude Osteen,1,1,4,0,14,14,2,11,"['Washington Senators', 'Cincinnati Reds']"
1961,Curt Simmons,9,10,30,0,203,99,2,91,['St. Louis Cardinals']
1961,Dick Hall,7,5,29,4,102,92,0,47,['Baltimore Orioles']
1961,Don McMahon,6,4,53,8,84,55,4,35,['Milwaukee Braves']
1961,Early Wynn,8,2,17,0,88,64,1,43,['Chicago White Sox']
1961,Hank Aguirre,4,4,45,8,44,32,4,22,['Detroit Tigers']
1961,Hoyt Wilhelm,9,7,51,18,89,87,3,35,['Baltimore Orioles']
1961,Jim Brewer,1,7,36,0,116,57,4,65,['Chicago Cubs']
1961,Jim Bunning,17,11,38,1,232,194,2,113,['Detroit Tigers']
1961,Jim Kaat,9,17,36,0,188,122,10,105,['Minnesota Twins']
1961,Jim Perry,10,17,35,0,238,90,5,132,['Cleveland Indians']
1961,Joe Nuxhall,5,8,37,1,135,81,6,81,['Kansas City Athletics']
1961,Johnny Klippstein,2,2,42,0,83,41,10,59,['Washington Senators']
1961,Juan Marichal,13,10,29,0,183,124,7,88,['San Francisco Giants']
1961,Juan Pizarro,14,7,39,2,164,188,5,73,['Chicago White Sox']
1961,Ken Johnson,6,6,21,1,82,46,1,44,"['Kansas City Athletics', 'Cincinnati Reds']"
1961,Lew Burdette,18,11,40,0,295,92,1,131,['Milwaukee Braves']
1961,Lindy McDaniel,10,6,55,9,117,65,8,57,['St. Louis Cardinals']
1961,Mike Garcia,0,1,16,0,23,14,0,14,['Washington Senators']
1961,Mike McCormick,13,16,40,0,235,163,4,99,['San Francisco Giants']
1961,Milt Pappas,13,9,26,1,134,89,7,67,['Baltimore Orioles']
1961,Moe Drabowsky,0,2,16,2,26,5,1,15,['Milwaukee Braves']
1961,Ray Sadecki,14,10,31,0,196,114,8,100,['St. Louis Cardinals']
1961,Robin Roberts,1,10,26,0,154,54,1,85,['Philadelphia Phillies']
1961,Ron Kline,8,9,36,1,172,97,5,87,"['Los Angeles Angels', 'Detroit Tigers']"
1961,Roy Face,6,12,62,17,94,55,5,44,['Pittsburgh Pirates']
1961,Stu Miller,14,5,63,17,95,89,0,41,['San Francisco Giants']
1961,Vern Law,3,4,11,0,72,20,0,33,['Pittsburgh Pirates']
1961,Warren Spahn,21,13,38,0,236,115,4,96,['Milwaukee Braves']
1961,Whitey Ford,25,4,39,0,242,209,8,108,['New York Yankees']
1961,Wilbur Wood,0,0,6,0,14,7,1,8,['Boston Red Sox']
1962,Al Downing,0,0,1,0,0,1,0,0,['New York Yankees']
1962,Bill Henry,4,2,40,11,40,35,0,21,['Cincinnati Reds']
1962,Billy Pierce,16,6,30,1,147,76,2,67,['San Francisco Giants']
1962,Bob Friend,18,14,39,1,280,144,4,99,['Pittsburgh Pirates']
1962,Bob Gibson,15,13,32,1,174,208,11,84,['St. Louis Cardinals']
1962,Bob Miller,3,14,56,1,184,103,13,127,"['New York Mets', 'Cincinnati Reds']"
1962,Bobby Shantz,6,4,31,4,60,61,0,26,"[""Houston Colt .45's"", 'St. Louis Cardinals']"
1962,Camilo Pascual,20,11,34,0,236,206,6,100,['Minnesota Twins']
1962,Claude Osteen,8,13,28,1,140,59,3,62,['Washington Senators']
1962,Curt Simmons,10,10,31,0,167,74,1,78,['St. Louis Cardinals']
1962,Dick Hall,6,6,43,6,102,71,0,31,['Baltimore Orioles']
1962,Don McMahon,5,6,53,8,56,72,8,16,"['Milwaukee Braves', ""Houston Colt .45's""]"
1962,Early Wynn,7,15,27,0,171,91,2,90,['Chicago White Sox']
1962,Fred Norman,0,0,2,0,4,2,2,1,['Kansas City Athletics']
1962,Gaylord Perry,3,1,13,0,54,20,3,29,['San Francisco Giants']
1962,Hank Aguirre,16,8,42,3,162,156,4,67,['Detroit Tigers']
1962,Hoyt Wilhelm,7,10,52,15,64,90,11,28,['Baltimore Orioles']
1962,Jim Brewer,0,1,6,0,10,1,0,6,['Chicago Cubs']
1962,Jim Bunning,19,10,41,6,262,184,4,112,['Detroit Tigers']
1962,Jim Kaat,18,14,39,1,243,173,13,106,['Minnesota Twins']
1962,Jim Perry,12,12,35,0,213,74,0,94,['Cleveland Indians']
1962,Joe Nuxhall,5,0,17,1,66,59,1,26,"['Los Angeles Angels', 'Cincinnati Reds']"
1962,Johnny Klippstein,7,6,40,4,113,67,8,66,['Cincinnati Reds']
1962,Juan Marichal,18,11,37,1,233,153,3,112,['San Francisco Giants']
1962,Juan Pizarro,12,14,36,1,182,173,5,97,['Chicago White Sox']
1962,Ken Johnson,7,16,33,0,195,178,6,100,"[""Houston Colt .45's""]"
1962,Lew Burdette,10,9,37,2,172,59,1,85,['Milwaukee Braves']
1962,Lindy McDaniel,3,10,55,14,96,79,6,53,['St. Louis Cardinals']
1962,Mike McCormick,5,5,28,0,112,42,1,64,['San Francisco Giants']
1962,Milt Pappas,12,10,35,0,200,130,7,105,['Baltimore Orioles']
1962,Moe Drabowsky,3,7,33,1,113,75,3,69,"['Kansas City Athletics', 'Cincinnati Reds']"
1962,Ray Sadecki,6,8,22,1,121,50,5,74,['St. Louis Cardinals']
1962,Robin Roberts,10,9,27,0,176,102,2,63,['Baltimore Orioles']
1962,Ron Kline,3,6,36,2,88,47,4,40,['Detroit Tigers']
1962,Roy Face,8,7,63,28,74,45,0,23,['Pittsburgh Pirates']
1962,Stu Miller,5,8,59,19,107,78,5,55,['San Francisco Giants']
1962,Vern Law,10,7,23,0,156,78,2,67,['Pittsburgh Pirates']
1962,Warren Spahn,18,14,34,0,248,118,4,97,['Milwaukee Braves']
1962,Whitey Ford,17,8,38,0,243,160,5,90,['New York Yankees']
1962,Wilbur Wood,0,0,1,0,6,3,0,3,['Boston Red Sox']
1963,Al Downing,13,5,24,0,114,171,5,52,['New York Yankees']
1963,Bill Henry,1,3,47,14,55,45,3,30,['Cincinnati Reds']
1963,Billy Pierce,3,11,38,8,106,52,3,49,['San Francisco Giants']
1963,Bob Friend,17,16,39,0,236,144,6,87,['Pittsburgh Pirates']
1963,Bob Gibson,18,9,36,0,224,204,6,110,['St. Louis Cardinals']
1963,Bob Miller,10,8,42,1,171,125,12,71,['Los Angeles Dodgers']
1963,Bobby Shantz,6,4,55,11,55,70,5,28,['St. Louis Cardinals']
1963,Camilo Pascual,21,9,31,0,205,202,10,76,['Minnesota Twins']
1963,Claude Osteen,9,14,40,0,222,109,6,101,['Washington Senators']
1963,Curt Simmons,15,9,32,0,209,127,3,82,['St. Louis Cardinals']
1963,Dick Hall,5,5,47,12,91,74,0,39,['Baltimore Orioles']
1963,Don McMahon,1,5,49,5,83,51,2,38,"[""Houston Colt .45's""]"
1963,Early Wynn,1,2,20,1,50,29,0,14,['Cleveland Indians']
1963,Fred Norman,0,1,2,0,9,6,1,9,['Kansas City Athletics']
1963,Gaylord Perry,1,6,31,2,84,52,4,41,['San Francisco Giants']
1963,Hank Aguirre,14,15,38,0,222,134,2,96,['Detroit Tigers']
1963,Hoyt Wilhelm,5,8,55,21,106,111,4,47,['Chicago White Sox']
1963,Jim Brewer,3,2,29,0,59,35,0,32,['Chicago Cubs']
1963,Jim Bunning,12,13,39,1,245,196,4,119,['Detroit Tigers']
1963,Jim Kaat,10,10,31,1,195,105,6,96,['Minnesota Twins']
1963,Jim Perry,9,9,40,1,179,72,4,83,"['Minnesota Twins', 'Cleveland Indians']"
1963,Joe Nuxhall,15,8,35,2,194,169,2,73,['Cincinnati Reds']
1963,Johnny Klippstein,5,6,49,8,80,86,6,28,['Philadelphia Phillies']
1963,Jose Santiago,1,0,4,0,8,6,0,7,['Kansas City Athletics']
1963,Juan Marichal,25,8,41,0,259,248,2,102,['San Francisco Giants']
1963,Juan Pizarro,16,8,32,1,177,163,5,69,['Chicago White Sox']
1963,Ken Johnson,11,17,37,1,204,148,1,86,"[""Houston Colt .45's""]"
1963,Lew Burdette,9,13,36,2,177,73,0,90,"['Milwaukee Braves', 'St. Louis Cardinals']"
1963,Lindy McDaniel,13,7,57,22,82,75,9,32,['Chicago Cubs']
1963,Mickey Lolich,5,9,33,0,145,103,8,64,['Detroit Tigers']
1963,Mike McCormick,6,8,25,0,132,75,3,70,['Baltimore Orioles']
1963,Milt Pappas,16,9,34,0,186,120,10,80,['Baltimore Orioles']
