year,player,wins,losses,games_played,saves,hits,strikeouts,wild_pitches,runs_allowed,teams
2009,Justin Verlander,19,9,35,0,219,269,8,99,['Detroit Tigers']
2009,Kevin Millwood,13,10,31,0,195,123,8,88,['Texas Rangers']
2009,Kyle Farnsworth,1,5,41,0,43,42,2,22,['Kansas City Royals']
2009,Kyle Lohse,6,10,23,0,125,77,3,69,['St. Louis Cardinals']
2009,LaTroy Hawkins,1,4,65,11,60,45,2,16,['Houston Astros']
2009,Livan Hernandez,9,12,31,0,220,102,1,112,"['Washington Nationals', 'New York Mets']"
2009,Mariano Rivera,3,3,66,44,48,72,1,14,['New York Yankees']
2009,Mark Buehrle,13,10,33,0,222,105,2,97,['Chicago White Sox']
2009,Miguel Batista,7,4,56,1,79,52,4,37,['Seattle Mariners']
2009,Mike Hampton,7,10,21,0,128,74,1,71,['Houston Astros']
2009,Oliver Perez,3,4,14,0,69,62,2,51,['New York Mets']
2009,Pedro Martinez,5,1,9,0,48,37,0,18,['Philadelphia Phillies']
2009,Randy Johnson,8,6,22,0,97,86,5,55,['San Francisco Giants']
2009,Randy Wolf,11,7,34,0,178,160,4,81,['Los Angeles Dodgers']
2009,Rich Hill,3,3,14,0,68,46,1,53,['Baltimore Orioles']
2009,Roberto Hernandez,5,12,24,0,151,79,5,97,['Cleveland Indians']
2009,Roy Halladay,17,10,32,0,234,208,2,82,['Toronto Blue Jays']
2009,Russ Springer,1,4,74,1,68,58,0,27,"['Oakland Athletics', 'Tampa Bay Rays']"
2009,Ryan Dempster,11,9,31,0,196,172,11,94,['Chicago Cubs']
2009,Tim Hudson,2,1,7,0,49,30,0,17,['Atlanta Braves']
2009,Tim Wakefield,11,5,21,0,137,72,4,67,['Boston Red Sox']
2009,Tom Gordon,0,1,3,0,3,0,2,4,['Arizona Diamondbacks']
2009,Trevor Hoffman,3,2,55,37,35,48,2,11,['Milwaukee Brewers']
2009,Tyler Clippard,4,2,41,0,36,67,1,20,['Washington Nationals']
2009,Zack Greinke,16,8,33,0,195,242,5,64,['Kansas City Royals']
2010,A. J. Burnett,10,15,33,0,204,145,16,118,['New York Yankees']
2010,Adam Wainwright,20,11,33,0,186,213,2,68,['St. Louis Cardinals']
2010,Andrew Miller,1,5,9,0,51,28,5,34,['Florida Marlins']
2010,Andy Pettitte,11,3,21,0,123,101,2,52,['New York Yankees']
2010,Anibal Sanchez,13,12,32,0,192,157,7,89,['Florida Marlins']
2010,Arthur Rhodes,4,4,69,0,38,50,1,14,['Cincinnati Reds']
2010,Billy Wagner,7,2,71,37,38,104,2,14,['Atlanta Braves']
2010,Bronson Arroyo,17,10,33,0,188,121,1,95,['Cincinnati Reds']
2010,Bruce Chen,12,7,33,1,136,98,3,68,['Kansas City Royals']
2010,CC Sabathia,21,7,34,0,209,197,8,92,['New York Yankees']
2010,Chan Ho Park,4,3,53,0,65,52,7,39,"['New York Yankees', 'Pittsburgh Pirates']"
2010,Charlie Morton,2,12,17,0,112,59,5,79,['Pittsburgh Pirates']
2010,Darren Oliver,1,2,64,1,53,65,0,20,['Texas Rangers']
2010,Derek Lowe,16,12,33,0,204,136,4,88,['Atlanta Braves']
2010,Edwin Jackson,10,12,32,0,214,181,20,111,"['Arizona Diamondbacks', 'Chicago White Sox']"
2010,Ervin Santana,17,10,33,0,221,169,11,104,['Los Angeles Angels of Anaheim']
2010,Fernando Rodney,4,3,72,14,70,53,4,33,['Los Angeles Angels of Anaheim']
2010,Francisco Rodriguez,5,5,96,25,91,103,11,37,"['New York Mets', 'Los Angeles Angels of Anaheim']"
2010,Ian Kennedy,9,10,32,0,163,168,16,87,['Arizona Diamondbacks']
2010,Jamey Wright,1,3,46,0,55,28,4,33,"['Cleveland Indians', 'Seattle Mariners']"
2010,Jamie Moyer,9,9,19,0,103,63,0,64,['Philadelphia Phillies']
2010,Jeff Suppan,3,8,30,0,130,51,4,61,"['St. Louis Cardinals', 'Milwaukee Brewers']"
2010,Joaquin Benoit,1,2,63,1,30,75,1,10,['Tampa Bay Rays']
2010,Jon Lester,19,9,32,0,167,225,6,81,['Boston Red Sox']
2010,Justin Verlander,18,9,33,0,190,219,11,89,['Detroit Tigers']
2010,Kevin Millwood,4,16,31,0,223,132,7,116,['Baltimore Orioles']
2010,Kyle Farnsworth,3,2,60,0,55,61,3,25,"['Kansas City Royals', 'Atlanta Braves']"
2010,Kyle Lohse,4,8,18,0,129,54,1,75,['St. Louis Cardinals']
2010,LaTroy Hawkins,0,3,18,0,21,18,1,15,['Milwaukee Brewers']
2010,Livan Hernandez,10,12,33,0,216,114,1,93,['Washington Nationals']
2010,Mariano Rivera,3,3,61,33,39,45,0,14,['New York Yankees']
2010,Mark Buehrle,13,13,33,0,246,99,3,105,['Chicago White Sox']
2010,Miguel Batista,1,2,58,2,71,55,4,36,['Washington Nationals']
2010,Mike Hampton,0,0,10,0,3,3,0,0,['Arizona Diamondbacks']
2010,Oliver Perez,0,5,17,0,54,37,4,37,['New York Mets']
2010,Randy Wolf,13,12,34,0,213,142,2,107,['Milwaukee Brewers']
2010,Rich Hill,1,0,6,0,5,3,0,0,['Boston Red Sox']
2010,Roberto Hernandez,13,14,33,0,203,124,3,98,['Cleveland Indians']
2010,Roy Halladay,21,10,33,0,231,219,5,74,['Philadelphia Phillies']
2010,Russ Springer,0,0,2,0,2,1,0,1,['Cincinnati Reds']
2010,Ryan Dempster,15,12,34,0,198,208,6,110,['Chicago Cubs']
2010,Tim Hudson,17,9,34,0,189,139,5,74,['Atlanta Braves']
2010,Tim Wakefield,4,10,32,0,153,84,11,92,['Boston Red Sox']
2010,Trevor Hoffman,2,7,50,10,49,30,2,31,['Milwaukee Brewers']
2010,Tyler Clippard,11,8,78,1,69,112,1,33,['Washington Nationals']
2010,Zack Greinke,10,14,33,0,219,181,4,114,['Kansas City Royals']
2011,A. J. Burnett,11,11,33,0,190,173,25,115,['New York Yankees']
2011,Andrew Miller,6,3,17,0,77,50,2,43,['Boston Red Sox']
2011,Anibal Sanchez,8,9,32,0,187,202,4,85,['Florida Marlins']
2011,Arthur Rhodes,3,4,51,1,34,21,1,17,"['St. Louis Cardinals', 'Texas Rangers']"
2011,Bartolo Colon,8,10,29,0,172,135,0,85,['New York Yankees']
2011,Bronson Arroyo,9,12,32,0,227,108,0,119,['Cincinnati Reds']
2011,Bruce Chen,12,8,25,0,152,97,2,71,['Kansas City Royals']
2011,CC Sabathia,19,8,33,0,230,230,2,87,['New York Yankees']
2011,Charlie Morton,10,10,29,0,186,110,9,82,['Pittsburgh Pirates']
2011,Darren Oliver,5,5,61,2,47,44,0,17,['Texas Rangers']
2011,Derek Lowe,9,17,34,0,212,137,1,110,['Atlanta Braves']
2011,Edwin Jackson,12,9,32,0,225,148,9,92,"['Chicago White Sox', 'St. Louis Cardinals']"
2011,Ervin Santana,11,12,33,0,207,178,10,95,['Los Angeles Angels of Anaheim']
2011,Fernando Rodney,3,5,39,3,26,26,2,18,['Los Angeles Angels of Anaheim']
2011,Francisco Rodriguez,6,2,83,23,80,86,4,29,"['New York Mets', 'Los Angeles Angels of Anaheim', 'Milwaukee Brewers']"
2011,Ian Kennedy,21,4,33,0,186,198,11,73,['Arizona Diamondbacks']
2011,Jamey Wright,2,3,60,1,61,48,4,26,['Seattle Mariners']
2011,Jason Isringhausen,3,3,53,7,36,44,1,23,['New York Mets']
2011,Joaquin Benoit,4,3,66,2,47,63,3,22,['Detroit Tigers']
2011,Joe Nathan,2,1,48,14,38,43,3,26,['Minnesota Twins']
2011,Jon Lester,15,9,31,0,166,182,4,77,['Boston Red Sox']
2011,Justin Verlander,24,5,34,0,174,250,7,73,['Detroit Tigers']
2011,Kevin Millwood,4,3,9,0,58,36,2,26,['Colorado Rockies']
2011,Kyle Farnsworth,5,1,63,25,45,51,2,15,['Tampa Bay Rays']
2011,Kyle Lohse,14,8,30,0,178,111,1,80,['St. Louis Cardinals']
2011,LaTroy Hawkins,3,1,52,0,50,28,2,15,['Milwaukee Brewers']
2011,Livan Hernandez,8,13,29,0,199,99,3,98,['Washington Nationals']
2011,Mariano Rivera,1,2,64,44,47,60,1,13,['New York Yankees']
2011,Mark Buehrle,13,9,31,0,221,109,1,93,['Chicago White Sox']
2011,Miguel Batista,5,2,35,0,49,31,3,29,"['New York Mets', 'St. Louis Cardinals']"
2011,Randy Wolf,13,10,33,0,214,134,4,95,['Milwaukee Brewers']
