year,player,games_played,at_bats,runs,hits,doubles,triples,homeruns,strikeouts,teams
1922,Johnny Evers,1,3,0,0,0,0,0,0,['Chicago White Sox']
1922,Ken Williams,153,585,128,194,34,11,39,31,['St. Louis Browns']
1922,Kiki Cuyler,1,0,0,0,0,0,0,0,['Pittsburgh Pirates']
1922,Larry Gardner,137,470,74,134,31,3,2,21,['Cleveland Indians']
1922,Les Mann,84,147,42,51,14,1,2,12,['St. Louis Cardinals']
1922,Luke Sewell,41,87,14,23,5,0,0,8,['Cleveland Indians']
1922,Max Carey,155,629,140,207,28,12,10,26,['Pittsburgh Pirates']
1922,Muddy Ruel,116,361,34,92,15,1,0,26,['Boston Red Sox']
1922,Ossie Bluege,19,61,5,12,1,0,0,7,['Washington Senators']
1922,Pete Alexander,33,85,4,15,1,0,0,16,['Chicago Cubs']
1922,Pie Traynor,142,571,89,161,17,12,4,28,['Pittsburgh Pirates']
1922,Rabbit Maranville,155,672,115,198,26,15,0,43,['Pittsburgh Pirates']
1922,Ray Schalk,142,442,57,124,22,3,4,36,['Chicago White Sox']
1922,Red Faber,43,125,8,25,2,0,0,42,['Chicago White Sox']
1922,Roger Peckinpaugh,147,520,62,132,14,4,2,36,['Washington Senators']
1922,Rogers Hornsby,154,623,141,250,46,14,42,50,['St. Louis Cardinals']
1922,Rube Bressler,52,53,7,14,0,2,0,4,['Cincinnati Reds']
1922,Rube Marquard,39,63,3,14,0,0,0,9,['Boston Braves']
