year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1986,Dave Bergman,43,837,255,29,4,"['OF', '1B']",['Detroit Tigers']
1986,Dave Collins,94,2329,211,2,1,['OF'],['Detroit Tigers']
1986,Dave Concepcion,92,2087,153,223,10,"['2B', '1B', '3B', 'SS']",['Cincinnati Reds']
1986,Dave Kingman,3,47,17,0,2,['1B'],['Oakland Athletics']
1986,Dave Magadan,9,141,48,5,0,['1B'],['New York Mets']
1986,Dave Martinez,46,749,77,2,1,['OF'],['Chicago Cubs']
1986,Dave Parker,159,4197,278,9,9,['OF'],['Cincinnati Reds']
1986,Dave Righetti,74,320,1,10,0,['P'],['New York Yankees']
1986,Dave Stewart,37,485,10,18,1,['P'],"['Oakland Athletics', 'Philadelphia Phillies']"
1986,Dave Stieb,37,615,15,33,1,['P'],['Toronto Blue Jays']
1986,Dave Winfield,147,3805,292,9,5,"['OF', '3B']",['New York Yankees']
1986,Davey Lopes,78,1615,96,65,8,"['OF', '3B']","['Houston Astros', 'Chicago Cubs']"
1986,David Cone,11,68,4,0,0,['P'],['Kansas City Royals']
1986,Dennis Eckersley,33,603,16,28,3,['P'],['Chicago Cubs']
1986,Dennis Lamp,40,219,5,11,1,['P'],['Toronto Blue Jays']
1986,Dennis Martinez,23,314,4,25,1,['P'],"['Baltimore Orioles', 'Montreal Expos']"
1986,Denny Walling,117,2500,108,161,9,"['OF', '1B', '3B']",['Houston Astros']
1986,Devon White,28,441,49,0,2,['OF'],['California Angels']
1986,Dick Schofield,137,3568,246,389,18,['SS'],['California Angels']
1986,Don Slaught,91,2161,533,40,4,['C'],['Texas Rangers']
1986,Don Sutton,34,621,18,14,2,['P'],['California Angels']
1986,Doug Jones,11,54,1,4,0,['P'],['Cleveland Indians']
1986,Doyle Alexander,34,685,14,25,3,['P'],"['Toronto Blue Jays', 'Atlanta Braves']"
1986,Dusty Baker,58,1206,90,4,0,"['OF', '1B']",['Oakland Athletics']
1986,Dwight Evans,149,3846,280,10,5,['OF'],['Boston Red Sox']
1986,Dwight Gooden,33,750,36,36,2,['P'],['New York Mets']
1986,Eddie Murray,119,3157,1045,88,13,['1B'],['Baltimore Orioles']
1986,Eric Davis,121,2963,274,2,7,['OF'],['Cincinnati Reds']
1986,Fernando Valenzuela,34,808,29,47,1,['P'],['Los Angeles Dodgers']
1986,Frank Tanana,32,565,19,26,2,['P'],['Detroit Tigers']
1986,Frank White,153,3805,317,441,10,"['2B', '3B', 'SS']",['Kansas City Royals']
1986,Fred Lynn,107,2729,244,2,4,['OF'],['Baltimore Orioles']
1986,Fred McGriff,1,6,3,0,0,['1B'],['Toronto Blue Jays']
1986,Garry Templeton,144,3571,207,358,20,['SS'],['San Diego Padres']
1986,Gary Carter,136,3519,943,70,9,"['C', '1B', '3B', 'OF']",['New York Mets']
1986,Gary Gaetti,160,4094,120,335,21,"['OF', '2B', '3B', 'SS']",['Minnesota Twins']
1986,Gary Matthews,105,2337,137,5,9,['OF'],['Chicago Cubs']
1986,Gene Garber,61,234,7,14,0,['P'],['Atlanta Braves']
1986,George Bell,149,3907,270,17,10,"['OF', '3B']",['Toronto Blue Jays']
1986,George Brett,117,2976,97,218,16,"['3B', 'SS']",['Kansas City Royals']
1986,George Foster,73,1784,115,6,4,['OF'],"['Chicago White Sox', 'New York Mets']"
1986,George Hendrick,100,1903,188,9,5,"['OF', '1B']",['California Angels']
1986,George Wright,74,1411,109,4,2,['OF'],"['Montreal Expos', 'Texas Rangers']"
1986,Graig Nettles,114,2542,83,174,16,['3B'],['San Diego Padres']
1986,Greg Gross,33,399,40,3,0,"['OF', '1B', 'P']",['Philadelphia Phillies']
1986,Greg Maddux,6,93,1,6,1,['P'],['Chicago Cubs']
1986,Greg Minton,48,206,7,19,2,['P'],['San Francisco Giants']
1986,Greg Swindell,9,185,2,12,0,['P'],['Cleveland Indians']
1986,Jack Clark,64,1759,623,35,3,['1B'],['St. Louis Cardinals']
1986,Jack Morris,35,801,27,27,2,['P'],['Detroit Tigers']
1986,Jamie Moyer,16,262,2,22,0,['P'],['Chicago Cubs']
1986,Jamie Quirk,72,1506,303,64,4,"['C', '1B', '3B', 'OF']",['Kansas City Royals']
1986,Jay Bell,2,36,1,6,2,['2B'],['Cleveland Indians']
1986,Jeff Reardon,62,267,8,10,0,['P'],['Montreal Expos']
1986,Jeff Reed,64,1317,332,19,2,['C'],['Minnesota Twins']
1986,Jerry Hairston,30,583,132,9,0,"['OF', '1B']",['Chicago White Sox']
1986,Jerry Reuss,19,222,5,16,0,['P'],['Los Angeles Dodgers']
1986,Jerry Royster,111,1760,87,166,14,"['OF', '2B', '3B', 'SS']",['San Diego Padres']
1986,Jesse Orosco,59,252,5,8,0,"['OF', 'P']",['New York Mets']
1986,Jim Dwyer,25,392,33,4,0,"['OF', '1B']",['Baltimore Orioles']
1986,Jim Gantner,139,3551,309,353,10,"['2B', '3B', 'SS']",['Milwaukee Brewers']
